Course,COVID Impact,First Generation,Gender,Race/Ethnicity,Grade,Semester
Chem1,impacted,N,Female,Asian,B+,2020 Spring
Chem1,impacted,N,Female,Asian,F,2020 Spring
Chem1,impacted,N,Female,Asian,A,2020 Spring
Chem1,impacted,N,Female,Asian,B-,2020 Spring
Chem1,impacted,N,Female,Asian,B-,2020 Spring
Chem1,impacted,N,Female,Asian,A-,2020 Spring
Chem1,impacted,N,Female,Black or African American,C,2020 Spring
Chem1,impacted,N,Female,Black or African American,F,2020 Spring
Chem1,impacted,N,Female,Black or African American,A,2020 Spring
Chem1,impacted,N,Female,Black or African American,C+,2020 Spring
Chem1,impacted,N,Female,Black or African American,A,2020 Spring
Chem1,impacted,N,Female,Hispanic,W,2020 Spring
Chem1,impacted,N,Female,Hispanic,C+,2020 Spring
Chem1,impacted,N,Female,Hispanic,A-,2020 Spring
Chem1,impacted,N,Female,Hispanic,A+,2020 Spring
Chem1,impacted,N,Female,Hispanic,A-,2020 Spring
Chem1,impacted,N,Female,Hispanic,C-,2020 Spring
Chem1,impacted,N,Female,Hispanic,F,2020 Spring
Chem1,impacted,N,Female,Hispanic,A,2020 Spring
Chem1,impacted,N,Female,Hispanic,A,2020 Spring
Chem1,impacted,N,Female,Hispanic,C+,2020 Spring
Chem1,impacted,N,Female,Hispanic,F,2020 Spring
Chem1,impacted,N,Female,Hispanic,C,2020 Spring
Chem1,impacted,N,Female,Hispanic,B,2020 Spring
Chem1,impacted,N,Female,Hispanic,C,2020 Spring
Chem1,impacted,N,Female,Two or more races,A-,2020 Spring
Chem1,impacted,N,Female,Two or more races,A+,2020 Spring
Chem1,impacted,N,Female,U.S. Nonresident,A+,2020 Spring
Chem1,impacted,N,Female,U.S. Nonresident,A-,2020 Spring
Chem1,impacted,N,Female,U.S. Nonresident,C,2020 Spring
Chem1,impacted,N,Female,U.S. Nonresident,B,2020 Spring
Chem1,impacted,N,Female,U.S. Nonresident,B-,2020 Spring
Chem1,impacted,N,Female,U.S. Nonresident,A+,2020 Spring
Chem1,impacted,N,Female,U.S. Nonresident,A-,2020 Spring
Chem1,impacted,N,Female,Unknown race and ethnicity,A,2020 Spring
Chem1,impacted,N,Female,White,A-,2020 Spring
Chem1,impacted,N,Female,White,W,2020 Spring
Chem1,impacted,N,Female,White,A+,2020 Spring
Chem1,impacted,N,Female,White,A,2020 Spring
Chem1,impacted,N,Female,White,A+,2020 Spring
Chem1,impacted,N,Female,White,C-,2020 Spring
Chem1,impacted,N,Female,White,W,2020 Spring
Chem1,impacted,N,Female,White,A-,2020 Spring
Chem1,impacted,N,Female,White,A,2020 Spring
Chem1,impacted,N,Female,White,A-,2020 Spring
Chem1,impacted,N,Female,White,A-,2020 Spring
Chem1,impacted,N,Female,White,C+,2020 Spring
Chem1,impacted,N,Female,White,C+,2020 Spring
Chem1,impacted,N,Female,White,A,2020 Spring
Chem1,impacted,N,Female,White,B,2020 Spring
Chem1,impacted,N,Female,White,W,2020 Spring
Chem1,impacted,N,Female,White,B-,2020 Spring
Chem1,impacted,N,Female,White,A+,2020 Spring
Chem1,impacted,N,Female,White,C,2020 Spring
Chem1,impacted,N,Female,White,A,2020 Spring
Chem1,impacted,N,Female,White,C,2020 Spring
Chem1,impacted,N,Female,White,C+,2020 Spring
Chem1,impacted,N,Female,White,A,2020 Spring
Chem1,impacted,N,Female,White,B-,2020 Spring
Chem1,impacted,N,Female,White,F,2020 Spring
Chem1,impacted,N,Female,White,A,2020 Spring
Chem1,impacted,N,Female,White,C,2020 Spring
Chem1,impacted,N,Female,White,W,2020 Spring
Chem1,impacted,N,Female,White,B+,2020 Spring
Chem1,impacted,N,Female,White,B+,2020 Spring
Chem1,impacted,N,Female,White,B+,2020 Spring
Chem1,impacted,N,Female,White,A,2020 Spring
Chem1,impacted,N,Female,White,B+,2020 Spring
Chem1,impacted,N,Female,White,A+,2020 Spring
Chem1,impacted,N,Female,White,W,2020 Spring
Chem1,impacted,N,Female,White,F,2020 Spring
Chem1,impacted,N,Female,White,B,2020 Spring
Chem1,impacted,N,Female,White,A,2020 Spring
Chem1,impacted,N,Female,White,W,2020 Spring
Chem1,impacted,N,Female,White,A+,2020 Spring
